country_code	name	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
124	Canada	1.73857756569341	1.74485148505151	1.72664383479097	1.7101843446215	1.70421811437902	1.67439148536223	1.61481516852311	1.57373444304006	1.56751743659987	1.54717509269402	1.55179038819421	1.56097611909537	1.56528511072159	1.58608258219254	1.598151158659	1.63384686390869	1.68614961417678	1.72895122754258	1.74295736342024	1.71926576753755	1.69258480482887	1.68891712958105	1.67814778303336	1.6669286239578	1.65567580533663	1.64033662611869	1.61563997961381	1.58048998820853	1.56455340035512
208	Denmark	1.69101465473012	1.73075683093066	1.76225282969032	1.78503858362732	1.79350450660799	1.78033255799631	1.75800056423323	1.7426930521919	1.73991305762618	1.74518466031163	1.74616795864975	1.74274342292515	1.74699431698576	1.76186485928104	1.78160307320229	1.80507555424794	1.83003857160614	1.84952337527522	1.85340575889092	1.83457335994817	1.79026135472072	1.73527525764639	1.69454846175091	1.68354873623079	1.70414220635314	1.74028621601584	1.76709084327231	1.77463210939191	1.76986832950391
246	Finland	1.7980976647943	1.83408578739501	1.84905791220929	1.85189885364428	1.83967810613283	1.79979964674716	1.76278733152306	1.73153985072819	1.72563935731466	1.73304036991246	1.72657458990925	1.7201158945907	1.73555927957622	1.77295637840584	1.79776566247184	1.81490014161735	1.82635757793718	1.83075873044662	1.84620746604891	1.85738639491852	1.84326468392463	1.81333400108399	1.77409246224139	1.73098061808053	1.68092458066604	1.60812338294552	1.52925443418271	1.47925071213746	1.46457771095717
250	France	1.73603659832144	1.72062581022671	1.66296618761005	1.6234085983224	1.6606358621591	1.70386454897823	1.69786976726793	1.71013835211898	1.73860623270532	1.79352374410672	1.84072486957375	1.82513067555623	1.82504970556262	1.84253766864005	1.85979134245856	1.90962912485428	1.92635071565163	1.92589433728184	1.94549885658682	1.96209472160256	1.96702377763307	1.95191986682273	1.94212690591714	1.93905520452318	1.91840069446581	1.8697906678022	1.83420959460339	1.80962909104203	1.80062339785039
392	Japan	1.47263213544804	1.46097170548894	1.41271207830999	1.41946986834062	1.40376987368668	1.36408520427212	1.35434677449711	1.33786214103304	1.32012157110817	1.30964347546383	1.30514152557151	1.28330771374827	1.26787540139363	1.25602367742411	1.23129076090003	1.23298015905039	1.26993503594275	1.29012771847053	1.29980165380758	1.31246818332775	1.32659893578715	1.32790727254702	1.3437698686586	1.34873925003561	1.36105281360025	1.3673102016577	1.35417901204906	1.34892034116219	1.34732945605305
620	Portugal	1.53759072816544	1.51357827711978	1.48270341155701	1.44406791645782	1.41195382436977	1.40273406064247	1.41374503144419	1.43298265054737	1.45262632784003	1.46345366492952	1.453958741957	1.43363104974119	1.41373484699801	1.39363475574976	1.37441780690203	1.35492807413115	1.33908548535544	1.33325369749	1.33288246975502	1.32897328954625	1.30689457670116	1.26094948806368	1.21138685947394	1.18945463837073	1.20537080608905	1.23818491845536	1.26218217601802	1.26807752927043	1.26207338241745
724	Spain	1.35585762982043	1.33571027728714	1.30848384234025	1.24920020515815	1.20172728981548	1.17875788461685	1.17791853792723	1.16529685528448	1.1652898235318	1.20653321077532	1.22701291516584	1.23200261195509	1.26273058592829	1.2960232576848	1.30956993516441	1.33505300392849	1.35848107471558	1.41464928647572	1.4106036099969	1.3556673573998	1.33659537200763	1.3101764134743	1.26362859668679	1.2558118673835	1.29162115738042	1.30164001091649	1.30849375597858	1.30959581093643	1.30880156299493
752	Sweden	2.13179351574418	2.0977674862242	2.03225502596454	1.94230122051458	1.82388874792127	1.6791771704257	1.57168410316212	1.52921469060013	1.52214965474183	1.53992669635399	1.57462828097765	1.63214503114281	1.71213570164623	1.76234766316729	1.77838273051252	1.82061663774536	1.87299102660575	1.89448787584166	1.91815106555507	1.95678548676427	1.93069512624066	1.88217106894781	1.87647430590539	1.86517067309268	1.84890389800951	1.84379779534059	1.82196489613772	1.78469796296983	1.77487241611372
756	Switzerland	1.55907901055405	1.57765051377691	1.55370646375453	1.51840230586245	1.50773947688143	1.51255873040308	1.5040065429534	1.47979408869019	1.4735110146472	1.47243405331776	1.42339465681025	1.37379088114977	1.36883963780333	1.380080494665	1.38950152822181	1.39184263995145	1.40243850758819	1.42675646211335	1.45368094246365	1.47504635215813	1.48598125995131	1.48439271243979	1.48426818079934	1.49372011624691	1.50686953979991	1.51376549851654	1.50588776772205	1.49142782198837	1.48350950451631
826	United Kingdom	1.8381413266661	1.81525218950731	1.77969179779136	1.74763307552283	1.71596122314551	1.69927431079733	1.71883833006084	1.72898216069291	1.69198780121643	1.63096911835908	1.59946229219544	1.5881628046886	1.62466276948489	1.6901314618267	1.73463728880676	1.78412623199341	1.8372225826271	1.89196863313791	1.88104034279135	1.88975884038847	1.89901590997582	1.86988172739882	1.81705447690731	1.75385832967183	1.74560121186838	1.73800567503459	1.73539974315381	1.73243470220497	1.72774054991772
840	United States of America	2.03979995955121	2.02155467561629	2.00576023604915	1.98821372006891	1.97026720866214	1.9654808343976	1.96466557110451	1.98239762700935	2.00227042663967	2.03431368370712	2.05679949195073	2.03215995480429	2.04503021136433	2.06413453777368	2.06092752440224	2.08909841082832	2.12832121951646	2.10649828058229	2.04288393417338	1.96451233496398	1.90418308730965	1.88550123336719	1.86371494273804	1.85871212242853	1.86352518359353	1.83232964052892	1.78724229661358	1.7540033356929	1.74251313735257
